STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-01,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-02,,,,,17.0,",,N",20.0,",,N",13.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-03,,,,,0.3,",,N",8.0,",,N",13.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-04,,,,,2.0,",,N",10.0,",,N",13.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-05,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-06,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-07,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-08,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-09,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-10,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-11,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-12,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-13,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-14,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-15,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-16,,,,,4.6,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-17,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-18,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-19,,,,,0.3,",,N",13.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-20,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-21,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-22,,,,,0.0,"T,,N",5.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-23,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-24,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-25,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-26,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-27,,,,,5.1,",,N",71.0,",,N",89.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-28,,,,,0.0,",,N",0.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-29,,,,,0.0,",,N",0.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-30,,,,,0.0,"T,,N",0.0,"T,,N",64.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-01-31,,,,,0.0,",,N",0.0,",,N",64.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-01,,,,,0.0,",,N",0.0,",,N",64.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-02,,,,,0.0,"T,,N",0.0,"T,,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-03,,,,,0.0,",,N",0.0,",,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-04,,,,,0.0,",,N",0.0,",,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-05,,,,,5.6,",,N",25.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-06,,,,,0.0,"T,,N",0.0,"T,,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-07,,,,,0.5,",,N",13.0,",,N",89.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-08,,,,,0.0,",,N",0.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-09,,,,,1.0,",,N",25.0,",,N",102.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-10,,,,,0.0,",,N",0.0,",,N",102.0,",,N"
