STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-01,,19,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-02,,8,0,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-03,,18,-3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-04,,34,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-05,,35,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-06,,35,-3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-07,,5,-8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-08,,19,4,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-09,,23,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-10,,36,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-11,,47,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-12,,38,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-13,,47,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-14,,42,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-15,,36,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-16,,32,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-17,,37,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-18,,29,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-19,,30,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-20,,30,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-21,,8,-1,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-22,,12,-5,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-23,,14,2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-24,,18,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-25,,26,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-26,,27,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-27,,27,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-28,,11,-3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-29,,15,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-30,,31,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-01-31,,35,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-01,,36,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-02,,34,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-03,,27,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-04,,27,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-05,,27,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-06,,21,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-07,,15,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2014-02-08,,17,2,,
