"STATION","NAME","DATE","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-03",,"37","32",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-04",,"36","32",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-05",,"33","23",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-06",,"34","24",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-07",,"36","30",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-08",,"33","25",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-09",,"32","25",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-16",,"51","38",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-17",,"40","36",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-18",,"36","33",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-19",,"45","34",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-20",,"41","26",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-21",,"36","23",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-22",,"38","34",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-24",,"24","14",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1992-12-27",,"34","15",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-01",,"29","21",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-02",,"30","23",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-07",,"35","31",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-11",,"29","19",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-12",,"31","23",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-14",,"23","17",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-15",,"31","23",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-16",,"31","25",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-17",,"33","21",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-18",,"26","16",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-19",,"32","21",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-22",,"41","35",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-23",,"41","35",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-29",,"30","17",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-01-31",,"39","19",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-03",,"38","29",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-08",,"32","15",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-09",,"31","14",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-10",,"38","30",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-11",,"31","20",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-14",,"31","22",,
"CA006151061","BURLINGTON PIERS AUT, ON CA","1993-02-15",,"32","29",,
